lesson,Andromeda-Java,Apex-Java,Arches-PHP,Badlands-PHP,Bash-Java,Bayes-Data,Betelgeuse-Java,Ceres-Java,Curie-Data,Darden-Data,Deimos-Java,Europa-Java,Fortuna-Java,Franklin-PHP,Ganymede-Java,Glacier-PHP,Hampton-PHP,Hyperion-Java,Ike-PHP,Joshua-PHP,Jupiter-Java,Kings-PHP,Lassen-PHP,Mammoth-Java,Niagara-Java,Olympic-PHP,Pinnacles-Java,Quincy-PHP,Sequoia-Java,Teddy-Java,Ulysses-Java,Voyageurs-Java,Wrangell-Java,Xanadu-Java,Yosemite-Java,Zion-Java
advanced-topics,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,41.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly-detection,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,199.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appendix,214.0,262.0,76.0,0.0,165.0,95.0,100.0,230.0,190.0,237.0,586.0,315.0,345.0,0.0,542.0,0.0,25.0,137.0,0.0,0.0,72.0,26.0,84.0,42.0,31.0,19.0,107.0,23.0,243.0,317.0,232.0,201.0,117.0,186.0,63.0,200.0
capstones,0.0,60.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,51.0,16.0,71.0,0.0,141.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,28.0
classification,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,445.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustering,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,52.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
content,24.0,0.0,150.0,57.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,40.0,0.0,79.0,258.0,0.0,2223.0,1110.0,241.0,0.0,1359.0,157.0,632.0,60.0,503.0,335.0,34.0,0.0,42.0,44.0,21.0
distributed-ml,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,58.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empty,371.0,253.0,141.0,17.0,62.0,482.0,289.0,362.0,569.0,386.0,584.0,284.0,303.0,0.0,299.0,50.0,55.0,102.0,19.0,0.0,64.0,219.0,98.0,32.0,23.0,155.0,125.0,148.0,365.0,505.0,474.0,392.0,129.0,207.0,152.0,390.0
examples,0.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,133.0,18.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,0.0,0.0,19.0,0.0,52.0
fundamentals,0.0,0.0,0.0,0.0,0.0,606.0,13.0,0.0,523.0,383.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10.0,41.0,0.0,0.0,0.0,0.0
html-css,195.0,250.0,216.0,0.0,95.0,0.0,388.0,387.0,0.0,0.0,1161.0,259.0,286.0,0.0,307.0,55.0,22.0,77.0,56.0,0.0,53.0,30.0,170.0,0.0,0.0,81.0,169.0,10.0,272.0,307.0,409.0,106.0,128.0,333.0,131.0,673.0
java-i,224.0,521.0,56.0,0.0,63.0,0.0,410.0,430.0,0.0,0.0,314.0,163.0,235.0,0.0,250.0,11.0,46.0,121.0,0.0,0.0,41.0,55.0,120.0,34.0,21.0,103.0,130.0,50.0,333.0,284.0,293.0,216.0,105.0,218.0,91.0,225.0
java-ii,359.0,702.0,55.0,0.0,78.0,0.0,211.0,529.0,0.0,0.0,304.0,100.0,241.0,0.0,261.0,0.0,49.0,163.0,0.0,0.0,50.0,12.0,95.0,45.0,13.0,89.0,77.0,48.0,247.0,346.0,168.0,219.0,43.0,212.0,119.0,226.0
java-iii,342.0,317.0,29.0,0.0,86.0,0.0,317.0,367.0,0.0,0.0,280.0,53.0,278.0,11.0,172.0,0.0,21.0,115.0,0.0,0.0,75.0,16.0,196.0,53.0,23.0,33.0,96.0,0.0,147.0,438.0,259.0,202.0,104.0,145.0,154.0,273.0
javascript-i,313.0,446.0,177.0,0.0,170.0,0.0,555.0,763.0,0.0,0.0,1406.0,323.0,443.0,0.0,594.0,85.0,0.0,91.0,33.0,0.0,54.0,64.0,113.0,28.0,37.0,214.0,192.0,44.0,446.0,491.0,494.0,239.0,141.0,271.0,147.0,576.0
javascript-ii,214.0,331.0,102.0,0.0,22.0,0.0,95.0,237.0,0.0,0.0,427.0,143.0,174.0,13.0,330.0,0.0,0.0,29.0,0.0,0.0,39.0,26.0,71.0,19.0,18.0,86.0,149.0,12.0,167.0,225.0,119.0,149.0,91.0,291.0,96.0,202.0
jquery,120.0,321.0,59.0,0.0,13.0,0.0,125.0,169.0,0.0,0.0,843.0,117.0,154.0,0.0,387.0,0.0,0.0,17.0,0.0,0.0,30.0,0.0,72.0,17.0,0.0,82.0,66.0,0.0,190.0,340.0,127.0,125.0,26.0,206.0,61.0,83.0
mysql,336.0,408.0,55.0,0.0,118.0,0.0,205.0,511.0,0.0,0.0,661.0,145.0,216.0,0.0,234.0,0.0,13.0,106.0,0.0,0.0,35.0,0.0,146.0,26.0,31.0,21.0,184.0,97.0,325.0,494.0,357.0,343.0,99.0,323.0,157.0,253.0
prework,0.0,24.0,28.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,58.0,0.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0
python,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,266.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regression,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,107.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slides,0.0,27.0,38.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,78.0,20.0,0.0,10.0,29.0,49.0,178.0,48.0,27.0,0.0,0.0,0.0,0.0,0.0
spring,877.0,597.0,72.0,0.0,332.0,0.0,208.0,495.0,0.0,0.0,572.0,250.0,464.0,0.0,590.0,0.0,18.0,252.0,0.0,0.0,87.0,0.0,246.0,50.0,76.0,0.0,192.0,13.0,682.0,870.0,587.0,539.0,250.0,400.0,172.0,672.0
stats,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,137.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
storytelling,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeseries,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,167.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
web-design,10.0,11.0,0.0,0.0,24.0,0.0,11.0,12.0,0.0,0.0,43.0,12.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
